"Title","Categories: Sub","ASIN"
"La Roche-Posay Lipikar AP+ Triple Repair Moisturizing Cream, Face & Body Lotion For Dry Skin, Shea Butter & Niacinamide Moisturizer, Gentle Face & Body Cream For Dry, Rough & Sensitive Skin","Lotions, La Roche-Posay, Shop Skin Care, Summer Beauty, Lotions, 15% off luxury beauty, Mom's spa night, Moisturizers, Beauty Best Sellers, Customers' Most-Loved: Beauty, Customers' Most-Loved Premium Beauty_Temp, Most-loved beauty deals, Beauty New Arrivals, Shop Premium Beauty, Body Lotions and Skin Care Sample Credit, Customers' Most-Loved Beauty, Cleansers, Premium Beauty Best Sellers, Beauty like a PRO, Prime Card Bonus - Eligible Luxury Beauty Products, Premium Beauty Best Sellers, Treat Yourself Luxury Beauty, Top Rated Luxury Beauty, Shop Luxury Beauty Favorites, moisturize, La Roche-Posay Sampling, Lux-Pro-Beauty, Luxury Beauty Prime Offer, Amazon.com: 15% off Professional Skin Care","B003QXZWYW"
"CeraVe Skin Renewing Night Cream, Niacinamide, Peptide Complex, and Hyaluronic Acid Moisturizer for Face, 1.7 Ounce, Packaging may Vary","Night Creams, Face Care, Shop Skin Care, Summer Beauty, Save up to 30% on Beauty essentials, moisturize","B00SNPCSUY"
"L’Oreal Paris Original Voluminous Mascara, Building Mascara Volume and Length Formula, Washable, Blackest Black, 0.26 Fl Oz., 2 Count","Mascara, Customers' Most-Loved Beauty_Temp, Save 20% on L'Oreal Paris Makeup","B07SHZ2RYV"
"Differin Acne Treatment Gel, 90 Day Supply, Retinoid Treatment for Face with 0.1% Adapalene, Gentle Skin Care for Acne Prone Sensitive Skin, 45g Pump (Packaging May Vary)","Masks, Customers' Most-Loved Beauty v2","B07ZTN5N1V"
"L'Oreal Paris Root Cover Up Temporary Gray Concealer Spray, Hair Color Spray with Filling & Thickening Coverage, Medium Brown, Pack of 2, Packaging May Vary","Hair Mascaras & Root Touch Ups, LORCD LUSA USA CPA HOLISTIC BEAUTY, Save up to 30% on Beauty essentials, L'Oreal Haircare Lead Up DOTD 2021, Up to 30% off Beauty essentials, 35% Off Beauty: Prime Day, Up to 30% off top gifts in beauty, Save 20% on L'Oreal Paris Hair Color, Up to 30% off select Beauty, Buy 4, L'Oreal Paris items, save $5","B01DPWDVTQ"
"Amazon Basics Epsom Salt Soaking Aid, Lavender Scented, 3 Pound, 1-Pack (Previously Solimo)","Bath Salts, Mom's spa night","B07NJQ9RRG"
"Goody Ouchless Elastic Hair Ties - 30 Ct, Rainbow, 4MM Rubber Bands for Hair, Pain-Free Hair Accessories for Women & Men, Made for Long-Lasting Braids, Ponytails & More, All Hair Types","Elastics & Ties","B00FQT3A48"
"Locsanity Dreadlock Hair Scalp Detox - Deep Clean Dreadlock Powder, Cleansing Conditioner - Natural Hair Cleanser for Build Up - ACV Alternative, Loc Care and Maintenance Products","Hair Care, Beauty & Grooming, Most-loved handmade gifts under 30, Florida, HM-Curation","B08129Q7RT"
"NYX PROFESSIONAL MAKEUP Butter Gloss, Non-Sticky Lip Gloss - Cinnamon Roll (Dusty Nude Mauve)","Lip Glosses, Glosses, Lips1, Lipstick1","B083RQSP7M"
"L’Oréal Paris Makeup True Match Lumi Glotion Natural Glow Enhancer Highlighting Lotion","Highlighters & Luminizers, Blush, Bronzers & Highlighters, Customers' Most-Loved Beauty v2","B07GY6V4Y3"
